Tid (min);Måling 1;Måling 2;Måling 3;Måling 4;Måling 5
0;0.050;0.010;0.027;0.004;0.010
0.5;0.080;0.039;0.051;0.023;0.029
1.0;0.108;0.065;0.075;0.044;0.048
15;0.141;0.092;0.101;0.064;0.067
2.0;0.171;0.121;0.125;0.085;0.085
2.5;0.204;0.148;0.151;0.105;0.102
3.0;0.237;0.176;0.178;0.124;0.119
3.5;0.271;0.204;0.203;0.144;0.136
4.0;0.305;0.233;0.231;0.163;0.151
45;0.338;0.261;0.253;0.181;0.168
5.0;0.373;0.291;0.279;0.201;0.183
5.5;0.412;0.318;0.305;0.218;0.198
6.0;0.443;0.348;0.328;0.235;0.211
6.5;0.480;0.377;0.354;0.251;0.225
7.0;0.514;0.406;0.378;0.270;0.238
7.5;0.551;0.434;0.402;0.285;0.248
8.0;0.586;0.459;0.424;0.301;0.259
8.5;0.625;0.489;0.447;0.315;0.268
9.0;0.662;0.517;0.472;0.330;0.280
9.5;0.698;0.546;0.492;0.344;0.290
10.0;0.735;0.574;0.516;0.358;0.302
10.5;0.774;0.603;0.536;0.372;0.310
11.0;0.812;0.630;0.560;0.385;0.320
11.5;0.849;0.656;0.581;0.397;0.329
12.0;0.882;0.684;0.600;0.409;0.336
